epoch,train_loss,train_acc,test_loss,test_acc
0,1.2090983390808105,0.2396694214876033,1.0504096746444702,0.3333333333333333
1,0.5716332197189331,0.8925619834710744,0.9234510660171509,0.4
2,0.24238431453704834,1.0,0.6490625143051147,0.6666666666666666
3,0.08139263838529587,1.0,0.3826395869255066,1.0
4,0.03145259618759155,1.0,0.20431329309940338,1.0
5,0.01799406297504902,1.0,0.10834874957799911,1.0
6,0.010059251450002193,1.0,0.05789327621459961,1.0
7,0.006380734033882618,1.0,0.03237002715468407,1.0
8,0.00431743124499917,1.0,0.019249172881245613,1.0
9,0.0030120224691927433,1.0,0.01207386888563633,1.0
